Unnamed: 0,nframe_71212104600,absframe_71212104600,x0_71212104600,y0_71212104600,area_71212104600,yadj_71212104600,flower_71212104600,visit_num_71212104600,sx_71212104600,sy_71212104600,speeds_71212104600
357,357,73655,1195.0,377.0,1180.0,377.0,,,1167.3333333333333,406.3333333333333,42.49182927993994
358,358,73656,1223.0,336.0,1038.0,336.0,,,1195.6666666666667,374.6666666666667,48.86830374702107
359,359,73657,1256.0,293.0,924.0,293.0,,,1224.6666666666667,335.3333333333333,56.4003546088143
360,360,73658,1297.0,242.0,1745.0,242.0,,,1258.6666666666667,290.3333333333333,51.80519064512519
361,361,73659,1318.0,213.0,2015.0,213.0,,,1290.3333333333333,249.33333333333331,47.03780985075264
362,362,73660,1348.0,186.0,2832.0,186.0,,,1321.0,213.66666666666663,36.57108754801323
363,363,73661,1371.0,161.0,1128.0,161.0,,,1345.6666666666667,186.66666666666663,34.7451035719023
364,364,73662,1397.0,145.0,2492.0,145.0,,,1372.0,164.0,28.790430508918863
365,365,73663,1412.0,128.0,926.0,128.0,,,1393.3333333333333,144.66666666666666,24.67567403109577
366,366,73664,1429.0,115.0,775.0,115.0,,,1412.6666666666667,129.33333333333334,20.46677524401163
367,367,73665,1434.0,96.0,1295.0,96.0,,,1425.0,113.0,18.979521127315717
368,368,73666,1441.0,79.0,1196.0,79.0,,,1434.6666666666667,96.66666666666669,16.878651868229532
369,369,73667,1437.0,65.0,1247.0,65.0,,,1437.3333333333333,80.0,15.092308563562344
370,370,73668,1429.0,51.0,901.0,51.0,,,1435.6666666666667,65.0,13.270686158262954
371,371,73669,1424.0,43.0,952.0,43.0,,,1430.0,53.0,10.203485243342598
372,372,73670,1418.0,41.0,910.0,41.0,,,1423.6666666666667,45.0,5.734883511361814
373,373,73671,1415.0,41.0,1112.0,41.0,,,1419.0,41.66666666666666,2.6034165586355544
374,374,73672,1418.0,48.0,1011.0,48.0,,,1417.0,43.333333333333336,7.378647873726194
375,375,73673,1425.0,62.0,961.0,62.0,,,1419.3333333333333,50.333333333333336,15.07389207279339
376,376,73674,1441.0,78.0,892.0,78.0,,,1428.0,62.66666666666666,8.875684637129567
377,377,73675,,,,,,,1433.0,70.0,32.59601202601324
378,378,73676,1480.0,97.0,1843.0,97.0,,,1460.5,87.5,30.479501308256346
379,379,73677,1481.0,124.0,1190.0,124.0,,,1480.5,110.5,14.214624706813607
380,380,73678,1477.0,153.0,1395.0,153.0,,,1479.3333333333333,124.66666666666669,30.399195895798147
381,381,73679,1486.0,188.0,1047.0,188.0,,,1481.3333333333333,155.0,31.80845450155944
382,382,73680,1490.0,219.0,1951.0,219.0,,,1484.3333333333333,186.66666666666663,30.406505151949933
383,383,73681,1497.0,242.0,1574.0,242.0,,,1491.0,216.33333333333331,25.09094568874505
384,384,73682,1511.0,259.0,2097.0,259.0,,,1499.3333333333333,240.0,17.246577760368712
385,385,73683,1529.0,253.0,22.0,253.0,,,1512.3333333333333,251.33333333333331,11.571036638473227
386,386,73684,1504.0,276.0,1540.0,276.0,,,1514.6666666666667,262.6666666666667,5.666666666666629
387,387,73685,1511.0,276.0,1340.0,276.0,,,1514.6666666666667,268.3333333333333,3.726779962499717
388,388,73686,1524.0,263.0,2215.0,263.0,,,1513.0,271.6666666666667,10.290232693622036
389,389,73687,1532.0,263.0,1499.0,263.0,,,1522.3333333333333,267.3333333333333,15.509853498842514
390,390,73688,1552.0,254.0,1365.0,254.0,,,1536.0,260.0,16.414763002993507
391,391,73689,1569.0,243.0,1848.0,243.0,,,1551.0,253.33333333333331,14.60973800054076
392,392,73690,1571.0,243.0,1762.0,243.0,,,1564.0,246.66666666666663,8.359957469322895
393,393,73691,1577.0,256.0,1448.0,256.0,,,1572.3333333333333,247.33333333333331,8.48528137423857
394,394,73692,1587.0,261.0,1554.0,261.0,,,1578.3333333333333,253.33333333333331,9.666666666666698
395,395,73693,1591.0,264.0,1452.0,264.0,,,1585.0,260.3333333333333,5.3333333333332575
396,396,73694,1593.0,256.0,1678.0,256.0,,,1590.3333333333333,260.3333333333333,2.23606797749979
397,397,73695,1593.0,264.0,1401.0,264.0,,,1592.3333333333333,261.3333333333333,1.666666666666788
398,398,73696,1595.0,261.0,1150.0,261.0,,,1593.6666666666667,260.3333333333333,3.590109871423094
399,399,73697,1589.0,266.0,1180.0,266.0,,,1592.3333333333333,263.6666666666667,0.4714045207911657
400,400,73698,1594.0,263.0,902.0,263.0,,,1592.6666666666667,263.3333333333333,1.0540925533894718
401,401,73699,1592.0,262.0,1059.0,262.0,,,1591.6666666666667,263.6666666666667,2.748737083745089
402,402,73700,1587.0,274.0,1610.0,274.0,5.0,1.0,1591.0,266.3333333333333,6.146362971528606
403,403,73701,1582.0,277.0,3034.0,277.0,5.0,1.0,1587.0,271.0,4.853406592853676
404,404,73702,1588.0,276.0,1804.0,276.0,5.0,1.0,1585.6666666666667,275.6666666666667,1.3333333333332575
405,405,73703,1591.0,274.0,1723.0,274.0,5.0,1.0,1587.0,275.6666666666667,3.073181485764238
406,406,73704,1589.0,271.0,1376.0,271.0,5.0,1.0,1589.3333333333333,273.6666666666667,2.3570226039552176
407,407,73705,1589.0,269.0,1371.0,269.0,5.0,1.0,1589.6666666666667,271.3333333333333,2.8480012484391413
408,408,73706,1588.0,266.0,1332.0,266.0,5.0,1.0,1588.6666666666667,268.6666666666667,1.0540925533895078
409,409,73707,1588.0,268.0,1308.0,268.0,5.0,1.0,1588.3333333333333,267.6666666666667,0.7453559924997859
410,410,73708,1587.0,270.0,1681.0,270.0,5.0,1.0,1587.6666666666667,268.0,2.6874192494328875
411,411,73709,1587.0,274.0,1636.0,274.0,5.0,1.0,1587.3333333333333,270.6666666666667,2.0
412,412,73710,1588.0,274.0,1578.0,274.0,5.0,1.0,1587.3333333333333,272.6666666666667,0.6666666666667425
413,413,73711,1589.0,270.0,1268.0,270.0,5.0,1.0,1588.0,272.6666666666667,1.6996731711975983
414,414,73712,1588.0,269.0,1351.0,269.0,5.0,1.0,1588.3333333333333,271.0,1.374368541872572
415,415,73713,1589.0,270.0,1859.0,270.0,5.0,1.0,1588.6666666666667,269.6666666666667,0.4714045207911657
416,416,73714,1588.0,269.0,2037.0,269.0,5.0,1.0,1588.3333333333333,269.3333333333333,0.3333333333333144
417,417,73715,1588.0,268.0,2003.0,268.0,,,1588.3333333333333,269.0,0.7453559924997859
